t,x,z,tau_norm2,tau_norm,omega2
0.000000000,0.000000000,2.000000000,96.040000000,9.800000000,0.000000000
0.005000000,0.000000013,1.999999984,95.894090480,9.792552807,0.254393516
0.010000000,0.000000209,1.999999753,95.476336358,9.771199331,0.487313210
0.015000000,0.000001041,1.999998775,94.816672253,9.737385288,0.701612452
0.020000000,0.000003228,1.999996205,93.944576886,9.692501065,0.899600006
0.025000000,0.000007734,1.999990915,92.888638645,9.637875214,1.083144464
0.030000000,0.000015741,1.999981529,91.676217659,9.574769849,1.253757206
0.035000000,0.000028623,1.999966446,90.333191509,9.504377492,1.412659027
0.040000000,0.000047926,1.999943872,88.883772958,9.427819099,1.560834262
0.045000000,0.000075351,1.999911842,87.350389143,9.346143009,1.699075308
0.050000000,0.000112729,1.999868243,85.753612790,9.260324659,1.828019719
0.055000000,0.000162007,1.999810838,84.112136936,9.171266921,1.948181489
0.060000000,0.000225232,1.999737283,82.442785611,9.079800968,2.059977747
0.065000000,0.000304534,1.999645148,80.760553753,8.986687585,2.163751741
0.070000000,0.000402113,1.999531931,79.078670420,8.892618873,2.259792746
0.075000000,0.000520227,1.999395076,77.408680105,8.798220281,2.348353369
0.080000000,0.000661180,1.999231985,75.760537632,8.704052943,2.429664515
0.085000000,0.000827311,1.999040033,74.142712703,8.610616279,2.503948245
0.090000000,0.001020984,1.998816577,72.562300755,8.518350824,2.571428615
0.095000000,0.001244582,1.998558967,71.025137284,8.427641265,2.632340568
0.100000000,0.001500498,1.998264556,69.535913253,8.338819656,2.686936912
0.105000000,0.001791128,1.997930706,68.098289633,8.252168784,2.735493407
0.110000000,0.002118864,1.997554797,66.715009474,8.167925653,2.778311980
0.115000000,0.002486095,1.997134233,65.388006250,8.086285071,2.815722117
0.120000000,0.002895195,1.996666446,64.118507515,8.007403294,2.848080495
0.125000000,0.003348525,1.996148899,62.907133147,7.931401714,2.875768944
0.130000000,0.003848428,1.995579092,61.753987686,7.858370549,2.899190877
0.135000000,0.004397227,1.994954566,60.658746459,7.788372517,2.918766325
0.140000000,0.004997224,1.994272900,59.620735335,7.721446454,2.934925765
0.145000000,0.005650700,1.993531718,58.639004083,7.657610860,2.948102933
0.150000000,0.006359913,1.992728686,57.712393421,7.596867343,2.958726828
0.155000000,0.007127097,1.991861515,56.839595898,7.539203930,2.967213121
0.160000000,0.007954466,1.990927960,56.019210839,7.484598242,2.973955171
0.165000000,0.008844210,1.989925820,55.249793607,7.433020490,2.979314853
0.170000000,0.009798500,1.988852938,54.529899448,7.384436299,2.983613376
0.175000000,0.010819489,1.987707201,53.858122237,7.338809320,2.987122267
0.180000000,0.011909310,1.986486535,53.233128380,7.296103644,2.990054665
0.185000000,0.013070082,1.985188910,52.653686184,7.256285977,2.992557068
0.190000000,0.014303909,1.983812334,52.118690722,7.219327581,2.994704357
0.195000000,0.015612885,1.982354855,51.627179588,7.185205605,2.996523331
0.200000000,0.016999091,1.980814559,51.178333071,7.153903345,2.998020051
