t,x,z,tau_norm2,tau_norm,omega2
0.000000000,0.000000000,2.000000000,96.040000000,9.800000000,0.000000000
0.005000000,0.000000005,1.999999992,95.967615390,9.796306212,0.100453397
0.010000000,0.000000082,1.999999877,95.758008550,9.785602105,0.200018114
0.015000000,0.000000414,1.999999389,95.422395206,9.768438729,0.298873263
0.020000000,0.000001306,1.999998099,94.971801140,9.745347666,0.397153213
0.025000000,0.000003180,1.999995429,94.417007083,9.716841415,0.494952336
0.030000000,0.000006575,1.999990665,93.768502076,9.683413761,0.592328949
0.035000000,0.000012143,1.999982967,93.036444421,9.645540131,0.689308627
0.040000000,0.000020648,1.999971381,92.230629436,9.603677912,0.785887042
0.045000000,0.000032963,1.999954849,91.360463299,9.558266752,0.882032446
0.050000000,0.000050066,1.999932219,90.434942319,9.509728825,0.977687900
0.055000000,0.000073038,1.999902253,89.462637065,9.458469066,1.072773339
0.060000000,0.000103057,1.999863639,88.451680810,9.404875374,1.167187543
0.065000000,0.000141401,1.999814995,87.409761827,9.349318789,1.260810074
0.070000000,0.000189438,1.999754878,86.344119112,9.292153632,1.353503226
0.075000000,0.000248624,1.999681794,85.261541158,9.233717624,1.445114040
0.080000000,0.000320503,1.999594201,84.168367437,9.174331989,1.535476403
0.085000000,0.000406698,1.999490516,83.070492306,9.114301526,1.624413270
0.090000000,0.000508913,1.999369123,81.973371069,9.053914682,1.711739014
0.095000000,0.000628924,1.999228375,80.882027960,8.993443610,1.797261906
0.100000000,0.000768576,1.999066603,79.801065850,8.933144231,1.880786741
0.105000000,0.000929784,1.998882116,78.734677501,8.873256308,1.962117581
0.110000000,0.001114522,1.998673209,77.686658211,8.814003529,2.041060600
0.115000000,0.001324826,1.998438163,76.660419700,8.755593624,2.117427010
0.120000000,0.001562784,1.998175253,75.659005151,8.698218504,2.191036010
0.125000000,0.001830537,1.997882749,74.685105265,8.642054459,2.261717742
0.130000000,0.002130274,1.997558915,73.741075265,8.587262385,2.329316175
0.135000000,0.002464225,1.997202020,72.828952759,8.533988092,2.393691886
0.140000000,0.002834665,1.996810332,71.950476392,8.482362666,2.454724662
0.145000000,0.003243901,1.996382126,71.107105223,8.432502904,2.512315874
0.150000000,0.003694276,1.995915680,70.300038777,8.384511839,2.566390564
0.155000000,0.004188163,1.995409282,69.530237711,8.338479340,2.616899190
0.160000000,0.004727962,1.994861228,68.798445054,8.294482808,2.663818984
0.165000000,0.005316097,1.994269826,68.105207973,8.252587956,2.707154881
0.170000000,0.005955014,1.993633393,67.450900033,8.212849690,2.746939987
0.175000000,0.006647176,1.992950258,66.835743895,8.175313076,2.783235571
0.180000000,0.007395065,1.992218763,66.259834443,8.140014401,2.816130564
0.185000000,0.008201175,1.991437265,65.723162278,8.106982316,2.845740576
0.190000000,0.009068013,1.990604130,65.225637565,8.076239073,2.872206344
0.195000000,0.009998096,1.989717741,64.767113253,8.047801765,2.895686886
0.200000000,0.010993950,1.988776495,64.347402592,8.021683277,2.916344618
0.205000000,0.012058108,1.987778801,63.966291010,7.997892911,2.934340234
0.210000000,0.013193111,1.986723085,63.623546640,7.976436964,2.949831358
0.215000000,0.014401504,1.985607785,63.318930082,7.957319277,2.962971221
0.220000000,0.015685838,1.984431354,63.052203373,7.940541756,2.973907339
0.225000000,0.017048666,1.983192259,62.823138161,7.926104854,2.982780243
0.230000000,0.018492549,1.981888983,62.631523071,7.914008028,2.989722255
0.235000000,0.020020048,1.980520020,62.477170257,7.904250139,2.994856364
0.240000000,0.021633732,1.979083881,62.359921138,7.896829816,2.998295197
0.245000000,0.023336171,1.977579087,62.279651324,7.891745772,3.000140113
0.250000000,0.025129941,1.976004175,62.236274734,7.888997068,3.000480430
0.255000000,0.027017623,1.974357696,62.229746909,7.888583327,2.999392804
0.260000000,0.029001803,1.972638212,62.260067524,7.890504897,2.996940750
0.265000000,0.031085072,1.970844298,62.327282112,7.894762955,2.993174337
0.270000000,0.033270028,1.968974544,62.431482983,7.901359565,2.988130032
0.275000000,0.035559276,1.967027548,62.572809372,7.910297679,2.981830717
0.280000000,0.037955430,1.965001925,62.751446782,7.921581078,2.974285861
0.285000000,0.040461111,1.962896299,62.967625556,7.935214273,2.965491851
0.290000000,0.043078950,1.960709306,63.221618641,7.951202339,2.955432472
0.295000000,0.045811587,1.958439595,63.513738575,7.969550714,2.944079530
0.300000000,0.048661675,1.956085825,63.844333661,7.990264931,2.931393603
0.305000000,0.051631875,1.953646668,64.213783339,8.013350319,2.917324914
0.310000000,0.054724862,1.951120806,64.622492735,8.038811649,2.901814300
0.315000000,0.057943325,1.948506933,65.070886393,8.066652738,2.884794276
0.320000000,0.061289962,1.945803756,65.559401157,8.096876012,2.866190164
0.325000000,0.064767489,1.943009992,66.088478205,8.129482038,2.845921271
0.330000000,0.068378633,1.940124369,66.658554231,8.164469011,2.823902098
0.335000000,0.072126134,1.937145630,67.270051737,8.201832218,2.800043554
0.340000000,0.076012750,1.934072529,67.923368461,8.241563472,2.774254159
0.345000000,0.080041250,1.930903833,68.618865909,8.283650518,2.746441207
0.350000000,0.084214417,1.927638321,69.356856994,8.328076428,2.716511870
0.355000000,0.088535049,1.924274789,70.137592789,8.374818971,2.684374226
0.360000000,0.093005955,1.920812045,70.961248397,8.423849975,2.649938172
0.365000000,0.097629957,1.917248915,71.827907946,8.475134686,2.613116233
0.370000000,0.102409888,1.913584240,72.737548736,8.528631117,2.573824213
0.375000000,0.107348592,1.909816877,73.690024563,8.584289404,2.531981706
0.380000000,0.112448919,1.905945705,74.685048407,8.642051169,2.487514107
0.385000000,0.117713728,1.901969621,75.722177037,8.701849059,2.440365632
0.390000000,0.123145882,1.897887541,76.800800948,8.763606618,2.390507930
0.395000000,0.128748247,1.893698409,77.920136955,8.827238354,2.337938484
0.400000000,0.134523690,1.889401187,79.079222118,8.892649893,2.282678189
0.405000000,0.140475075,1.884994869,80.276909042,8.959738224,2.224768811
0.410000000,0.146605260,1.880478473,81.511862594,9.028392027,2.164270377
0.415000000,0.152917096,1.875851047,82.782558128,9.098492080,2.101258545
0.420000000,0.159413423,1.871111672,84.087281251,9.169911736,2.035822008
0.425000000,0.166097065,1.866259462,85.424129199,9.242517471,1.968059955
0.430000000,0.172970831,1.861293567,86.791013859,9.316169484,1.898079646
0.435000000,0.180037504,1.856213175,88.185666470,9.390722361,1.825994124
0.440000000,0.187299844,1.851017514,89.605644033,9.466025778,1.751920090
0.445000000,0.194760583,1.845705855,91.048337439,9.541925248,1.675975964
0.450000000,0.202422418,1.840277514,92.510981324,9.618262906,1.598280151
0.455000000,0.210288009,1.834731854,93.990665633,9.694878320,1.518949515
0.460000000,0.218359976,1.829068287,95.484348874,9.771609329,1.438098071
0.465000000,0.226640893,1.823286279,96.988873032,9.848292899,1.355835892
0.470000000,0.235133285,1.817385348,98.500980088,9.924765997,1.272268241
0.475000000,0.243839625,1.811365070,100.017330077,10.000866466,1.187494899
0.480000000,0.252762328,1.805225081,101.534520619,10.076433924,1.101609706
0.485000000,0.261903746,1.798965077,103.049107821,10.151310645,1.014700288
0.490000000,0.271266168,1.792584821,104.557628458,10.225342462,0.926847969
0.495000000,0.280851812,1.786084140,106.056623302,10.298379645,0.838127851
0.500000000,0.290662825,1.779462930,107.542661479,10.370277792,0.748609056
0.505000000,0.300701274,1.772721159,109.012365704,10.440898702,0.658355110
0.510000000,0.310969148,1.765858870,110.462438239,10.510111238,0.567424476
0.515000000,0.321468351,1.758876177,111.889687414,10.577792180,0.475871203
0.520000000,0.332200697,1.751773277,113.291054514,10.643827061,0.383745703
0.525000000,0.343167911,1.744550444,114.663640871,10.708110985,0.291095638
0.530000000,0.354371624,1.737208035,116.004734933,10.770549426,0.197966915
0.535000000,0.365813369,1.729746489,117.311839126,10.831059003,0.104404778
0.540000000,0.377494578,1.722166334,118.582696298,10.889568233,0.010455000
0.545000000,0.389416581,1.714468182,119.815315501,10.946018249,-0.083834831
0.550000000,0.401580603,1.706652738,121.007996928,11.000363491,-0.178413943
0.555000000,0.413987762,1.698720793,122.159355747,11.052572359,-0.273226922
0.560000000,0.426639064,1.690673235,123.268344623,11.102627825,-0.368212168
0.565000000,0.439535408,1.682511041,124.334274681,11.150528000,-0.463300400
0.570000000,0.452677577,1.674235286,125.356832947,11.196286570,-0.558416714
0.575000000,0.466066243,1.665847140,126.336089332,11.239932799,-0.653486356
0.580000000,0.479701961,1.657347868,127.272495359,11.281511218,-0.748434582
0.585000000,0.493585174,1.648738835,128.166880107,11.321081225,-0.843185028
0.590000000,0.507716207,1.640021501,129.020443976,11.358716652,-0.937658211
0.595000000,0.522095272,1.631197426,129.834750324,11.394505269,-1.031770158
0.600000000,0.536722463,1.622268271,130.611715074,11.428548249,-1.125431179
0.605000000,0.551597763,1.613235793,131.353594340,11.460959573,-1.218544778
0.610000000,0.566721037,1.604101849,132.062970186,11.491865392,-1.311006717
0.615000000,0.582092040,1.594868396,132.742734596,11.521403326,-1.402704239
0.620000000,0.597710413,1.585537491,133.396071773,11.549721718,-1.493515455
0.625000000,0.613575686,1.576111286,134.026438848,11.576978831,-1.583308916
0.630000000,0.629687282,1.566592036,134.637545133,11.603341981,-1.671943372
0.635000000,0.646044514,1.556982089,135.233330020,11.628986629,-1.759267737
0.640000000,0.662646588,1.547283894,135.817939636,11.654095402,-1.845121268
0.645000000,0.679492610,1.537499994,136.395702387,11.678857067,-1.929333972
0.650000000,0.696581578,1.527633026,136.971103494,11.703465448,-2.011727250
0.655000000,0.713912396,1.517685723,137.548758648,11.728118291,-2.092114783
0.660000000,0.731483867,1.507660910,138.133386901,11.753016077,-2.170303664
