t,x,z,tau_norm2,tau_norm,omega2
0.000000000,0.000000000,2.000000000,96.040000000,9.800000000,0.000000000
0.005000000,0.000000004,1.999999994,95.984492113,9.797167556,0.073399545
0.010000000,0.000000060,1.999999906,95.819264044,9.788731483,0.144741427
0.015000000,0.000000302,1.999999524,95.546548044,9.774791458,0.214242325
0.020000000,0.000000949,1.999998501,95.168941954,9.755457035,0.282104036
0.025000000,0.000002303,1.999996351,94.689384243,9.730847047,0.348514568
0.030000000,0.000004745,1.999992460,94.111128500,9.701089037,0.413649124
0.035000000,0.000008735,1.999986081,93.437717535,9.666318717,0.477670973
0.040000000,0.000014804,1.999976340,92.672957198,9.626679448,0.540732232
0.045000000,0.000023556,1.999962242,91.820890037,9.582321746,0.602974544
0.050000000,0.000035666,1.999942668,90.885768929,9.533402799,0.664529666
0.055000000,0.000051869,1.999916385,89.872030780,9.480086011,0.725519968
0.060000000,0.000072967,1.999882044,88.784270422,9.422540550,0.786058841
0.065000000,0.000099819,1.999838188,87.627214803,9.360940914,0.846251034
0.070000000,0.000133343,1.999783251,86.405697580,9.295466507,0.906192897
0.075000000,0.000174509,1.999715568,85.124634210,9.226301220,0.965972558
0.080000000,0.000224339,1.999633372,83.788997640,9.153633030,1.025670017
0.085000000,0.000283904,1.999534802,82.403794666,9.077653588,1.085357170
0.090000000,0.000354318,1.999417906,80.974043065,8.998557833,1.145097766
0.095000000,0.000436739,1.999280648,79.504749565,8.916543588,1.204947288
0.100000000,0.000532367,1.999120905,78.000888727,8.831811180,1.264952777
0.105000000,0.000642435,1.998936478,76.467382801,8.744563042,1.325152586
0.110000000,0.000768213,1.998725095,74.909082620,8.655003329,1.385576075
0.115000000,0.000911002,1.998484412,73.330749589,8.563337526,1.446243260
0.120000000,0.001072132,1.998212020,71.737038799,8.469772063,1.507164398
0.125000000,0.001252960,1.997905450,70.132483324,8.374513916,1.568339540
0.130000000,0.001454866,1.997562175,68.521479725,8.277770215,1.629758036
0.135000000,0.001679252,1.997179615,66.908274795,8.179747844,1.691398026
0.140000000,0.001927539,1.996755144,65.296953561,8.080653040,1.753225900
0.145000000,0.002201163,1.996286092,63.691428551,7.980690982,1.815195767
0.150000000,0.002501576,1.995769747,62.095430358,7.880065378,1.877248921
0.155000000,0.002830241,1.995203365,60.512499474,7.778978048,1.939313349
0.160000000,0.003188631,1.994584170,58.945979410,7.677628502,2.001303277
0.165000000,0.003578224,1.993909361,57.399011083,7.576213506,2.063118792
0.170000000,0.004000507,1.993176113,55.874528456,7.474926652,2.124645557
0.175000000,0.004456967,1.992381586,54.375255412,7.373957920,2.185754649
0.180000000,0.004949094,1.991522923,52.903703828,7.273493234,2.246302549
0.185000000,0.005478376,1.990597261,51.462172821,7.173714019,2.306131316
0.190000000,0.006046299,1.989601730,50.052749133,7.074796756,2.365068971
