baseline_id	baseline_dir	baseline_feasibility_status	candidate	candidate_role	candidate_sign_type	q_zt_2_0	q_zt_1_5	q_zt_1_0	sign_match_count	sign_mismatch_count	mean_abs_value	paper_mean_abs_value	magnitude_scale_ratio	mae_to_paper	rmse_to_paper	err_zt_2_0	err_zt_1_5	err_zt_1_0	monotonic_deficit	monotonic_margin	baseline_primary_rank	aggregate_primary_rank
A	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_A_px5_ini0_rho12	has_relaxed	neg_vt2	primary	signed_candidate	-0.161037629	-0.077048707	-0.108275686	3	0	0.115454007	0.153000000	0.754601355	0.113762255	0.141117140	0.226962371	-0.028048707	-0.086275686	0.031226979	-0.031226979	1	1
A	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_A_px5_ini0_rho12	has_relaxed	vt2	primary	signed_candidate	0.161037629	0.077048707	0.108275686	0	3	0.115454007	0.153000000	0.754601355	0.268454007	0.333817490	0.549037629	0.126048707	0.130275686	0.083988922	-0.083988922	2	2
A	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_A_px5_ini0_rho12	has_relaxed	vt_norm	primary	unsigned_candidate	0.161037629	0.077048707	0.108275686	0	3	0.115454007	0.153000000	0.754601355	0.268454007	0.333817490	0.549037629	0.126048707	0.130275686	0.083988922	-0.083988922	3	3
A	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_A_px5_ini0_rho12	has_relaxed	vt1	lateral_slip_audit_only	signed_candidate	0.000000000	0.000000000	0.000000000	0	3	0.000000000	0.153000000	0.000000000	0.153000000	0.226148182	0.388000000	0.049000000	0.022000000	0.000000000	0.000000000		
A	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_A_px5_ini0_rho12	has_relaxed	vt_signed	legacy_projection_proxy_only	signed_candidate	-0.161037629	-0.077048707	-0.108275686	3	0	0.115454007	0.153000000	0.754601355	0.113762255	0.141117140	0.226962371	-0.028048707	-0.086275686	0.031226979	-0.031226979		
B	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_B_px5_ini0_rho14	all_strict	neg_vt2	primary	signed_candidate	-0.046402457	-0.039001973	-0.122583487	3	0	0.069329306	0.153000000	0.453132717	0.150726352	0.205674403	0.341597543	0.009998027	-0.100583487	0.083581514	-0.083581514	1	1
B	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_B_px5_ini0_rho14	all_strict	vt2	primary	signed_candidate	0.046402457	0.039001973	0.122583487	0	3	0.069329306	0.153000000	0.453132717	0.222329306	0.269167994	0.434402457	0.088001973	0.144583487	0.007400484	-0.007400484	2	2
B	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_B_px5_ini0_rho14	all_strict	vt_norm	primary	unsigned_candidate	0.046402457	0.039001973	0.122583487	0	3	0.069329306	0.153000000	0.453132717	0.222329306	0.269167994	0.434402457	0.088001973	0.144583487	0.007400484	-0.007400484	3	3
B	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_B_px5_ini0_rho14	all_strict	vt1	lateral_slip_audit_only	signed_candidate	0.000000000	0.000000000	0.000000000	0	3	0.000000000	0.153000000	0.000000000	0.153000000	0.226148182	0.388000000	0.049000000	0.022000000	0.000000000	0.000000000		
B	/root/ros1_noetic_fp/fast_perching/Fast-Perching/fig11_outputs/baseline_B_px5_ini0_rho14	all_strict	vt_signed	legacy_projection_proxy_only	signed_candidate	-0.046402457	-0.039001973	-0.122583487	3	0	0.069329306	0.153000000	0.453132717	0.150726352	0.205674403	0.341597543	0.009998027	-0.100583487	0.083581514	-0.083581514		
